,full_name,age,birthday_GMT,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer
2,Aaron Lennon,35,4/16/1987,Midfielder,Burnley,1217,487,730,England,16,7,9,1,1,0,1,1,0,0,0,4,2,2,20,8,12,1,0,0.15,0.07,0.07,0.18,0,1217,1.48,61,76,1217,1217,0.07,10
3,Aaron Mooy,32,9/15/1990,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,3
4,Aaron Ramsey,31,12/26/1990,Midfielder,Arsenal,1327,689,638,Wales,28,14,14,4,2,2,6,5,1,0,0,7,6,1,12,2,10,0,0,0.68,0.41,0.27,0.26,0.28,332,0.81,111,47,0,221,0,5
8,Abdoulaye Doucoure,29,1/1/1993,Midfielder,Watford,3062,1566,1496,France,35,18,17,5,3,2,6,2,4,0,0,5,3,2,54,27,27,7,0,0.32,0.18,0.15,0.17,0.12,612,1.59,57,87,437,510,0.21,5
9,Aboubakar Kamara,27,3/7/1995,Forward,Fulham,687,468,219,France,13,8,5,3,1,2,0,0,0,1,1,2,1,1,16,9,7,2,0,0.39,0,0.39,0.19,0.82,229,2.1,43,53,344,0,0.26,4
12,Adam Smith,31,4/29/1991,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,10
14,Adama Traore,26,1/25/1996,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,12,17,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0,0.16,890,1.11,81,31,890,890,0.1,13
18,Ainsley Maitland-Niles,25,8/29/1997,Midfielder,Arsenal,985,462,523,England,16,7,9,1,0,1,1,0,1,0,0,4,3,1,16,5,11,3,1,0.18,0.09,0.09,0,0.17,985,1.46,62,62,328,985,0.27,15
20,Aleksandar Mitrovic,28,9/16/1994,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,1
21,Alex Iwobi,26,5/3/1996,Forward,Arsenal,1972,742,1230,Nigeria,35,18,17,3,1,2,6,3,3,0,0,8,7,1,31,8,23,0,0,0.41,0.27,0.14,0.12,0.15,657,1.41,64,56,0,329,0,8
24,Alex Pritchard,29,5/3/1993,Midfielder,Huddersfield Town,2092,992,1100,England,30,14,16,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,5
26,Alexandre Lacazette,31,5/28/1991,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,2
28,Alexis Sanchez,33,12/19/1988,Forward,Manchester United,877,387,490,Chile,20,10,10,1,1,0,3,0,3,0,0,6,2,4,8,4,4,3,0,0.41,0.31,0.1,0.23,0,877,0.82,110,44,292,292,0.31,10
32,Alvaro Morata,30,10/23/1992,Forward,Chelsea,943,530,413,Spain,16,8,8,5,3,2,0,0,0,0,0,9,4,5,11,6,5,3,0,0.48,0,0.48,0.51,0.44,189,1.05,86,59,314,0,0.29,4
33,Ander Herrera,33,8/14/1989,Midfielder,Manchester United,1404,617,787,Spain,22,10,12,2,0,2,3,3,0,0,0,6,1,5,17,9,8,4,0,0.32,0.19,0.13,0,0.23,702,1.09,83,64,351,468,0.26,7
34,Andre Gomes,29,7/30/1993,Midfielder,Everton,1986,972,1014,Portugal,27,13,14,1,1,0,1,1,0,0,0,10,6,4,27,13,14,7,0,0.09,0.05,0.05,0.09,0,1986,1.22,74,74,284,1986,0.32,11
35,Andre Gray,31,6/26/1991,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,3
36,Andre Scherrle,31,11/6/1990,Midfielder,Fulham,1650,829,821,Germany,24,12,12,6,3,3,0,0,0,0,0,1,0,1,42,20,22,2,0,0.33,0,0.33,0.33,0.33,275,2.29,39,69,825,0,0.11,2
39,Andreas Pereira,26,1/1/1996,Midfielder,Manchester United,595,521,74,Brazil,15,10,5,1,1,0,1,1,0,0,0,1,1,0,10,7,3,5,0,0.3,0.15,0.15,0.17,0,595,1.51,60,40,119,595,0.76,16
42,Andriy Yarmolenko,33,10/23/1989,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,7
43,Andros Townsend,31,7/16/1991,Midfielder,Crystal Palace,3018,1571,1447,England,38,19,19,6,2,4,4,2,2,0,0,12,7,5,44,20,24,1,0,0.3,0.12,0.18,0.11,0.25,503,1.31,69,79,3018,755,0.03,3
46,Angelo Ogbonna,34,5/23/1988,Defender,West Ham United,1870,956,914,Italy,24,12,12,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,13
48,Anthony Knockaert,30,11/20/1991,Midfielder,Brighton & Hove Albion,1832,982,850,France,30,16,14,2,1,1,6,5,1,0,0,3,3,0,36,17,19,5,1,0.39,0.29,0.1,0.09,0.11,916,1.77,51,61,305,305,0.29,6
49,Anthony Martial,26,12/5/1995,Forward,Manchester United,1623,743,880,France,27,11,16,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,4
51,Antonio Rudiger,29,3/3/1993,Defender,Chelsea,2874,1350,1524,Germany,33,15,18,1,1,0,0,0,0,0,0,12,7,5,34,10,24,7,0,0.03,0,0.03,0.07,0,2874,1.06,85,87,411,0,0.22,13
53,Aron Einar Gunnarsson,33,4/22/1989,Midfielder,Cardiff City,2274,1240,1034,Iceland,28,14,14,1,1,0,1,1,0,0,0,8,4,4,37,20,17,5,0,0.08,0.04,0.04,0.07,0,2274,1.46,61,81,455,2274,0.2,9
56,Ashley Barnes,32,10/30/1989,Forward,Burnley,2400,1307,1093,England,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,1
